#ID        name                 Mass               Z                  spin               SN                 Tstart             Tend               Dtout              Seed             
151        726074078829647      13.371             0.002              0.0                compact            zams               end                events         916346283652175  
152        672937790656053      26.205             0.002              0.0                compact            zams               end                events         772850934370810  
153        364058940436212      15.447             0.002              0.0                compact            zams               end                events         354841218139935  
154        727901890008246      12.206             0.002              0.0                compact            zams               end                events         212764764413669  
155        574208869443023      13.813             0.002              0.0                compact            zams               end                events         134546972253798  
156        563027071422904      13.371             0.002              0.0                compact            zams               end                events         477614241182292  
157        108759176930216      16.870             0.002              0.0                compact            zams               end                events         285779141225735  
158        887160499578292      42.517             0.002              0.0                compact            zams               end                events         443099426656509  
159        455293093185608      45.610             0.002              0.0                compact            zams               end                events         835773884541642  
160        596337630581902      74.746             0.002              0.0                compact            zams               end                events         448979786417761  
161        934669967574786      14.733             0.002              0.0                compact            zams               end                events         553652219607197  
162        867782779622134      13.427             0.002              0.0                compact            zams               end                events         955962799411342  
163        439629437363891      30.048             0.002              0.0                compact            zams               end                events         226714904219532  
164        609189408019673      58.212             0.002              0.0                compact            zams               end                events         492401936867026  
165        312227046718744      22.341             0.002              0.0                compact            zams               end                events         218940286753288  
166        179522062284922      13.066             0.002              0.0                compact            zams               end                events         376087868538711  
167        470947616226332      60.849             0.002              0.0                compact            zams               end                events         61733933826206   
168        921404830996431      11.712             0.002              0.0                compact            zams               end                events         115142681353989  
169        480211774134697      13.022             0.002              0.0                compact            zams               end                events         267656688590415  
170        831420073291039      11.794             0.002              0.0                compact            zams               end                events         843332643956675  
171        230144799464985      10.745             0.002              0.0                compact            zams               end                events         984550613052852  
172        253972921075400      85.980             0.002              0.0                compact            zams               end                events         416324768096757  
173        518715744472574      15.323             0.002              0.0                compact            zams               end                events         26423031101697   
174        241220334560741      11.102             0.002              0.0                compact            zams               end                events         238271650411595  
175        876047240154578      58.423             0.002              0.0                compact            zams               end                events         556947583342672  
176        180897796088067      16.985             0.002              0.0                compact            zams               end                events         581046461900104  
177        112903071377599      15.259             0.002              0.0                compact            zams               end                events         830717400498969  
178        219579225124987      118.756            0.002              0.0                compact            zams               end                events         372303824121611  
179        605544160684719      23.478             0.002              0.0                compact            zams               end                events         524058577136500  
180        244947718704611      76.768             0.002              0.0                compact            zams               end                events         300247107747748  
181        697219507687513      132.808            0.002              0.0                compact            zams               end                events         39568203041768   
182        802098920175578      13.122             0.002              0.0                compact            zams               end                events         859396135177139  
183        853924387750397      13.035             0.002              0.0                compact            zams               end                events         103110997916172  
184        736755535759683      32.975             0.002              0.0                compact            zams               end                events         815748978954695  
185        386799455436087      25.053             0.002              0.0                compact            zams               end                events         615522161488784  
186        895510963536618      10.485             0.002              0.0                compact            zams               end                events         367512809050812  
