#ID        name                 Mass_0             Z_0                spin_0             SN_0               Tstart_0           Mass_1             Z_1                spin_1             SN_1               Tstart_1           a                  e                  Tend               Dtout              Seed             
115        920590375320402      6.392              0.002              0.0                compact            zams               2.741              0.002              0.0                compact            zams               98.1               0.417              end                events         452519989064257  
116        263888458340252      41.255             0.002              0.0                compact            zams               16.369             0.002              0.0                compact            zams               28.7               0.0364             end                events         530670061512878  
117        951135394852894      47.227             0.002              0.0                compact            zams               46.526             0.002              0.0                compact            zams               68.3               0.285              end                events         741505813447903  
119        909119597518623      8.729              0.002              0.0                compact            zams               3.149              0.002              0.0                compact            zams               2.15e+04           0.771              end                events         925630132724433  
120        962065500008213      6.311              0.002              0.0                compact            zams               5.017              0.002              0.0                compact            zams               114                0.328              end                events         325869274392961  
121        106621912418721      9.660              0.002              0.0                compact            zams               7.212              0.002              0.0                compact            zams               22.2               0.103              end                events         815203791539279  
123        755764696261078      5.327              0.002              0.0                compact            zams               3.563              0.002              0.0                compact            zams               3.46e+04           0.482              end                events         82658663336130   
124        716103038864231      19.262             0.002              0.0                compact            zams               12.379             0.002              0.0                compact            zams               2.18e+03           0.114              end                events         301435187416142  
125        533979697629883      19.596             0.002              0.0                compact            zams               4.998              0.002              0.0                compact            zams               291                0.027              end                events         210407450580988  
126        130646969692845      6.285              0.002              0.0                compact            zams               5.886              0.002              0.0                compact            zams               139                0.878              end                events         704966358575836  
127        391175350833541      53.025             0.002              0.0                compact            zams               24.062             0.002              0.0                compact            zams               94.3               0.342              end                events         605132529343598  
128        790457455429550      5.600              0.002              0.0                compact            zams               4.340              0.002              0.0                compact            zams               39.8               0.012              end                events         870835919897638  
129        229554300269385      5.345              0.002              0.0                compact            zams               2.680              0.002              0.0                compact            zams               33.7               0.0994             end                events         385567485536139  
130        784472310776686      7.334              0.002              0.0                compact            zams               5.125              0.002              0.0                compact            zams               4.15e+03           0.354              end                events         902765312397707  
131        862467556847780      5.532              0.002              0.0                compact            zams               2.847              0.002              0.0                compact            zams               23.5               0.391              end                events         443875116562018  
132        585987143822585      17.219             0.002              0.0                compact            zams               4.439              0.002              0.0                compact            zams               6.95e+03           0.225              end                events         465965380299200  
133        656406476088038      51.301             0.002              0.0                compact            zams               27.917             0.002              0.0                compact            zams               386                0.373              end                events         85790640632223   
134        156129994271568      10.633             0.002              0.0                compact            zams               6.116              0.002              0.0                compact            zams               897                0.961              end                events         770874517064957  
136        335012289937411      15.838             0.002              0.0                compact            zams               9.247              0.002              0.0                compact            zams               244                0.239              end                events         264407952255968  
137        973548519446307      8.896              0.002              0.0                compact            zams               4.585              0.002              0.0                compact            zams               32.7               0.419              end                events         398179013294685  
138        195784714698545      6.294              0.002              0.0                compact            zams               3.207              0.002              0.0                compact            zams               2.62e+03           0.154              end                events         417323055740384  
139        430569446427206      11.795             0.002              0.0                compact            zams               11.605             0.002              0.0                compact            zams               58.8               0.0851             end                events         312065798634633  
141        147233333488284      8.667              0.002              0.0                compact            zams               5.012              0.002              0.0                compact            zams               47.7               0.173              end                events         391731913114310  
142        862246654578361      6.115              0.002              0.0                compact            zams               5.287              0.002              0.0                compact            zams               2.57e+03           0.181              end                events         122623322337223  
144        767735427954898      13.679             0.002              0.0                compact            zams               13.483             0.002              0.0                compact            zams               847                0.00527            end                events         561234131213502  
145        919877767335332      5.780              0.002              0.0                compact            zams               4.700              0.002              0.0                compact            zams               471                0.287              end                events         740101350622761  
146        951308869623858      16.000             0.002              0.0                compact            zams               6.606              0.002              0.0                compact            zams               3.21e+03           0.657              end                events         332844626185005  
147        597427963672090      12.178             0.002              0.0                compact            zams               6.259              0.002              0.0                compact            zams               5.43e+03           0.0606             end                events         355323898843436  
148        812289016695224      12.989             0.002              0.0                compact            zams               6.205              0.002              0.0                compact            zams               30.5               0.0206             end                events         92613233793331   
149        569195102626806      5.996              0.002              0.0                compact            zams               5.228              0.002              0.0                compact            zams               927                0.265              end                events         541542984704703  
150        825564113925006      17.916             0.002              0.0                compact            zams               6.858              0.002              0.0                compact            zams               38.8               0.173              end                events         460028201086268  
152        916382684005594      8.012              0.002              0.0                compact            zams               3.724              0.002              0.0                compact            zams               16.2               0.0152             end                events         565314074723607  
154        820788960030595      17.896             0.002              0.0                compact            zams               12.521             0.002              0.0                compact            zams               38.6               0.459              end                events         696374743770122  
155        111730506615079      6.044              0.002              0.0                compact            zams               3.365              0.002              0.0                compact            zams               2.99e+03           0.0024             end                events         436656554509428  
156        606685743830329      7.136              0.002              0.0                compact            zams               5.831              0.002              0.0                compact            zams               1.05e+04           0.181              end                events         66626314692325   
157        266476841935337      8.236              0.002              0.0                compact            zams               5.879              0.002              0.0                compact            zams               4.49e+03           0.0611             end                events         627995990405503  
158        861117561415606      10.837             0.002              0.0                compact            zams               6.228              0.002              0.0                compact            zams               27.5               0.0705             end                events         828631140489659  
159        872609209916922      20.532             0.002              0.0                compact            zams               8.979              0.002              0.0                compact            zams               458                0.375              end                events         20014238477255   
160        898432040605812      52.864             0.002              0.0                compact            zams               6.063              0.002              0.0                compact            zams               194                0.0184             end                events         345957543602113  
161        619151627047298      34.040             0.002              0.0                compact            zams               11.562             0.002              0.0                compact            zams               1.61e+04           0.559              end                events         231635177056771  
163        762430263582441      6.403              0.002              0.0                compact            zams               5.176              0.002              0.0                compact            zams               25.1               0.168              end                events         121506115579998  
165        500020149764536      34.263             0.002              0.0                compact            zams               12.397             0.002              0.0                compact            zams               260                0.408              end                events         123144041528310  
166        506213211990955      15.481             0.002              0.0                compact            zams               11.555             0.002              0.0                compact            zams               3.59e+03           0.126              end                events         364877777540248  
167        724318459527317      16.254             0.002              0.0                compact            zams               2.226              0.002              0.0                compact            zams               401                0.181              end                events         851153384553787  
